"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"12:13:42.2878482 AM","SearchUI.exe","656","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\CloudStore\Store\Cache\DefaultAccount\$de${3db29389-6e8d-4762-aeea-f4406721110f}$$windows.data.unifiedtile.localstarttilepropertiesmap\Current\Data","SUCCESS","Type: REG_BINARY, Length: 17,149, Data: 02 00 00 00 A7 A0 22 FE 5C 40 D5 01 00 00 00 00"
"12:13:42.7715948 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:13:42.7716118 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:13:42.7716266 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:13:42.7716414 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"12:13:42.7735772 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:13:42.7735936 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:13:42.7736076 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:13:42.7736241 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"12:13:42.7760020 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\ProxyBypass","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:13:42.7760179 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\IntranetName","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:13:42.7760318 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\UNCAsIntranet","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
"12:13:42.7760459 AM","RuntimeBroker.exe","708","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Internet Settings\ZoneMap\AutoDetect","SUCCESS","Type: REG_DWORD, Length: 4, Data: 0"
"12:13:43.9378692 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\P:\Hfref\JQNTHgvyvglNppbhag\Qrfxgbc\argrnfr.rkr","SUCCESS","Type: REG_BINARY, Length: 72, Data: 00 00 00 00 00 00 00 00 01 00 00 00 15 3B 00 00"
"12:13:43.9382008 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\UserAssist\{CEBFF5CD-ACE2-4F4F-9178-9926F41749EA}\Count\HRZR_PGYFRFFVBA","SUCCESS","Type: REG_BINARY, Length: 1,612, Data: 00 00 00 00 6F 00 00 00 98 00 00 00 A1 78 31 00"
"12:13:44.0022749 AM","Explorer.EXE","3448","RegSetValue","HKCU\Software\Microsoft\Windows\CurrentVersion\Explorer\SessionInfo\1\ApplicationViewManagement\W32:00000000000D0366\VirtualDesktop","SUCCESS","Type: REG_BINARY, Length: 24, Data: 10 00 00 00 30 30 44 56 00 00 00 00 00 00 00 00"
"12:13:44.1165823 AM","netease.exe","3600","RegSetValue","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Notifications\Data\418A073AA3BC3475","SUCCESS","Type: REG_BINARY, Length: 498, Data: 6C 00 00 00 00 00 00 00 04 00 04 00 01 02 09 00"
"12:13:44.1200563 AM","netease.exe","3600","RegSetValue","HKLM\System\CurrentControlSet\Services\bam\State\UserSettings\S-1-5-21-2047949552-857980807-821054962-504\\Device\HarddiskVolume2\Users\WDAGUtilityAccount\Desktop\netease.exe","SUCCESS","Type: REG_BINARY, Length: 24, Data: 43 72 45 FF 5C 40 D5 01 00 00 00 00 00 00 00 00"
"12:13:44.5724860 AM","svchost.exe","1800","RegSetValue","\REGISTRY\A\{734dd487-11a2-c39b-d5f7-5a7ceb2bafdb}\Root\InventoryApplicationFile\WritePermissionsCheck","SUCCESS","Type: REG_DWORD, Length: 4, Data: 1"
